編號,姓名,性別
1,劉怡君,女
2,黃詩涵,女
3,郭柏翰,男
4,王家豪,男
5,鄭詩涵,女
6,鄭怡君,女
7,蔡詩涵,女
8,李柏翰,男
9,賴怡君,女
10,楊欣怡,女
11,吳冠宇,男
12,許詩涵,女
13,廖志明,男
14,張詩涵,女
15,許冠宇,男
16,曾俊傑,男
17,張志明,男
18,鄭冠宇,男
19,邱佳蓉,女
20,許怡君,女
21,邱柏翰,男
22,蔡志明,男
23,王志明,男
24,王怡君,女
25,洪冠宇,男
26,蔡欣怡,女
27,洪柏翰,男
28,林冠宇,男
29,楊雅婷,女
30,謝怡君,女
31,曾志明,男
32,謝柏翰,男
33,黃柏翰,男
34,劉家豪,男
35,徐怡君,女
36,曾柏翰,男
37,楊柏翰,男
38,許柏翰,男
39,廖冠宇,男
40,廖怡君,女
41,陳柏翰,男
42,劉詩涵,女
43,陳怡君,女
44,張怡君,女
45,李雅婷,女
46,賴俊傑,男
47,林柏翰,男
48,劉志明,男
49,邱欣怡,女
50,曾家豪,男
51,蔡家豪,男
52,李志明,男
53,劉俊傑,男
54,洪家豪,男
55,楊家豪,男
56,謝冠宇,男
57,邱志明,男
58,林俊傑,男
59,洪詩涵,女
60,邱俊傑,男
61,吳柏翰,男
62,黃佳蓉,女
63,吳雅婷,女
64,賴柏翰,男
65,許佳蓉,女
66,謝佳蓉,女
67,鄭佳蓉,女
68,吳怡君,女
69,鄭俊傑,男
70,曾怡君,女
71,曾冠宇,男
72,賴詩涵,女
73,張家豪,男
74,張柏翰,男
75,張俊傑,男
76,林欣怡,女
77,謝志明,男
78,徐欣怡,女
79,李欣怡,女
80,李佳蓉,女
81,陳志明,男
82,王柏翰,男
83,楊志明,男
84,鄭欣怡,女
85,林家豪,男
86,陳欣怡,女
87,廖俊傑,男
88,王冠宇,男
89,蔡雅婷,女
90,林怡君,女
91,王欣怡,女
92,黃怡君,女
93,楊冠宇,男
94,楊詩涵,女
95,謝家豪,男
96,郭欣怡,女
97,徐俊傑,男
98,徐家豪,男
99,邱冠宇,男
100,徐詩涵,女
101,廖柏翰,男
102,賴家豪,男
103,郭詩涵,女
104,郭佳蓉,女
105,洪雅婷,女
106,陳雅婷,女
107,鄭志明,男
108,陳佳蓉,女
109,吳詩涵,女
110,李家豪,男
111,廖雅婷,女
112,賴佳蓉,女
113,王俊傑,男
114,鄭家豪,男
115,許家豪,男
116,曾詩涵,女
117,郭怡君,女
118,郭家豪,男
119,郭志明,男
120,許雅婷,女
121,謝欣怡,女
122,許志明,男
123,黃雅婷,女
124,廖家豪,男
125,王詩涵,女
126,黃欣怡,女
127,劉佳蓉,女
128,楊怡君,女
129,謝俊傑,男
130,曾欣怡,女
131,廖欣怡,女
132,劉柏翰,男
133,劉欣怡,女
134,廖詩涵,女
135,劉雅婷,女
136,鄭雅婷,女
137,邱家豪,男
138,蔡俊傑,男
139,徐佳蓉,女
140,洪佳蓉,女
141,洪志明,男
142,李冠宇,男
143,邱詩涵,女
144,陳冠宇,男
145,吳欣怡,女
146,李詩涵,女
147,張雅婷,女
148,許欣怡,女
149,鄭柏翰,男
150,張冠宇,男
151,陳家豪,男
152,張欣怡,女
153,張佳蓉,女
154,楊佳蓉,女
155,王佳蓉,女
156,吳佳蓉,女
157,洪怡君,女
158,黃志明,男
159,郭冠宇,男
160,謝詩涵,女
161,劉冠宇,男
162,謝雅婷,女
163,陳俊傑,男
164,林佳蓉,女
165,洪俊傑,男
166,林雅婷,女
167,蔡柏翰,男
168,賴欣怡,女
169,許俊傑,男
170,蔡怡君,女
171,賴雅婷,女
172,蔡佳蓉,女
173,黃家豪,男
174,郭雅婷,女
175,賴志明,男
176,廖佳蓉,女
177,郭俊傑,男
178,蔡冠宇,男
179,徐雅婷,女
180,林詩涵,女
181,王雅婷,女
182,曾雅婷,女
183,楊俊傑,男
184,洪欣怡,女
185,黃俊傑,男
186,邱雅婷,女
187,吳俊傑,男
188,徐柏翰,男
189,黃冠宇,男
190,徐冠宇,男
191,徐志明,男
192,吳家豪,男
193,吳志明,男
194,林志明,男
195,曾佳蓉,女
196,邱怡君,女
197,李俊傑,男
198,陳詩涵,女
199,賴冠宇,男
200,李怡君,女
